LibraryElement, DeclaringType, EntityKind, Count, Status
TailwindPOS.MainModule.EndShiftWithAmount.TempParameter_4,TailwindPOS.MainModule.EndShiftWithAmount.TempParameter_4,Type,7,1
TailwindPOS.MainModule.EndShiftWithAmount.TempParameter_5,TailwindPOS.MainModule.EndShiftWithAmount.TempParameter_5,Type,7,1
TailwindPOS.MainModule.CreateTicket.currentDate,TailwindPOS.MainModule.CreateTicket.currentDate,Type,1,1
System.Windows.Forms.DataGridViewColumnHeadersHeightSizeMode.DisableResizing,System.Windows.Forms.DataGridViewColumnHeadersHeightSizeMode,Field,6,1
TailwindPOS.MainModule.EndShiftWithAmount.TempParameter_2,TailwindPOS.MainModule.EndShiftWithAmount.TempParameter_2,Type,7,1
TailwindPOS.MainModule.EndShiftWithAmount.TempParameter_3,TailwindPOS.MainModule.EndShiftWithAmount.TempParameter_3,Type,7,1
System.Windows.Forms.DataGridViewColumnHeadersHeightSizeMode,System.Windows.Forms.DataGridViewColumnHeadersHeightSizeMode,Type,3,1
TailwindPOS.ucNumbersPad.set_ShowValue.value,TailwindPOS.ucNumbersPad.set_ShowValue.value,Type,1,1
TailwindPOS.MainModule.GetCustomerInfo.conn,TailwindPOS.MainModule.GetCustomerInfo.conn,Type,3,1
TailwindPOS.MainModule.SaveSale.payIterator,TailwindPOS.MainModule.SaveSale.payIterator,Type,1,1
TailwindPOS.ucNumbersPad.set_ShowChars.value,TailwindPOS.ucNumbersPad.set_ShowChars.value,Type,2,1
TailwindPOS.frmSales.AddLine.Code,TailwindPOS.frmSales.AddLine.Code,Type,1,1
TailwindPOS.frmPayment.SumPayments.totalRows,TailwindPOS.frmPayment.SumPayments.totalRows,Type,1,1
TailwindPOS.MainModule.FindCustomers.conn,TailwindPOS.MainModule.FindCustomers.conn,Type,3,1
System.Reflection.Assembly.EntryPoint,System.Reflection.Assembly,Property,14,1
System.Reflection.Assembly,System.Reflection.Assembly,Type,26,1
System.Reflection.Assembly.GetExecutingAssembly,System.Reflection.Assembly,Method,52,1
TailwindPOS.frmCashCount.Highlight.X,TailwindPOS.frmCashCount.Highlight.X,Type,2,1
System.Windows.Forms.RightToLeft.No,System.Windows.Forms.RightToLeft,Field,322,1
System.Windows.Forms.RightToLeft,System.Windows.Forms.RightToLeft,Type,161,1
TailwindPOS.MainModule.ValidateUserPasswordAdmin.UserID,TailwindPOS.MainModule.ValidateUserPasswordAdmin.UserID,Type,1,1
TailwindPOS.POSSystems.POSName,TailwindPOS.POSSystems,Field,3,1
TailwindPOS.POSSystems.Phone,TailwindPOS.POSSystems,Field,1,1
TailwindPOS.POSSystems.Location,TailwindPOS.POSSystems,Field,1,1
TailwindPOS.POSSystems.Branch,TailwindPOS.POSSystems,Field,1,1
TailwindPOS.POSSystems.POSID,TailwindPOS.POSSystems,Field,7,1
TailwindPOS.POSSystems,TailwindPOS.POSSystems,Type,8,1
TailwindPOS.POSSystems..ctor,TailwindPOS.POSSystems,Method,2,1
TailwindPOS.frmCashCount.ucNumbers_OnBack.val,TailwindPOS.frmCashCount.ucNumbers_OnBack.val,Type,2,1
System.Windows.Forms.PictureBox,System.Windows.Forms.PictureBox,Type,2,1
System.Windows.Forms.PictureBox..ctor,System.Windows.Forms.PictureBox,Method,1,1
System.Windows.Forms.PictureBox.TabStop,System.Windows.Forms.PictureBox,Property,1,0
System.Windows.Forms.PictureBox.TabIndex,System.Windows.Forms.PictureBox,Property,1,0
System.Windows.Forms.PictureBox.CausesValidation,System.Windows.Forms.PictureBox,Property,1,0
System.Windows.Forms.PictureBox.SizeMode,System.Windows.Forms.PictureBox,Property,2,1
System.Windows.Forms.PictureBox.Image,System.Windows.Forms.PictureBox,Property,2,1
System.Windows.Forms.PictureBox.Font,System.Windows.Forms.PictureBox,Property,2,1
System.Windows.Forms.PictureBox.BorderStyle,System.Windows.Forms.PictureBox,Property,2,1
System.Windows.Forms.PictureBox.AllowDrop,System.Windows.Forms.PictureBox,Property,2,1
TailwindPOS.MainModule.SaveNewCustomer.rs,TailwindPOS.MainModule.SaveNewCustomer.rs,Type,1,1
System.Windows.Forms.DataGridViewSelectionMode.CellSelect,System.Windows.Forms.DataGridViewSelectionMode,Field,2,1
System.Windows.Forms.DataGridViewSelectionMode.FullRowSelect,System.Windows.Forms.DataGridViewSelectionMode,Field,4,1
System.Windows.Forms.DataGridViewSelectionMode,System.Windows.Forms.DataGridViewSelectionMode,Type,3,1
TailwindPOS.MainModule.EndShiftWithAmount.Endshift,TailwindPOS.MainModule.EndShiftWithAmount.Endshift,Type,1,1
TailwindPOS.frmCustAdd.set_DefInstance.value,TailwindPOS.frmCustAdd.set_DefInstance.value,Type,1,1
System.Reflection.AssemblyCultureAttribute..ctor,System.Reflection.AssemblyCultureAttribute,Method,1,1
TailwindPOS.MainModule.CompleteTicket.Total,TailwindPOS.MainModule.CompleteTicket.Total,Type,1,1
TailwindPOS.frmSales.ConfirmVoidItem.items,TailwindPOS.frmSales.ConfirmVoidItem.items,Type,1,1
System.Drawing.Font,System.Drawing.Font,Type,167,1
System.Drawing.Font..ctor,System.Drawing.Font,Method,167,1
TailwindPOS.MainModule.ExtractData.xml,TailwindPOS.MainModule.ExtractData.xml,Type,1,1
System.Data.Common.DbParameter.ParameterName,System.Data.Common.DbParameter,Property,52,1
